"Week","Material","Reading"
"1","Introduction to systems and signal representations; types of systems and signals (periodic vs. aperiodic, nonlinear vs. linear etc.)","1.1 - 1.3"
"2","Biological modeling; elementary signal transformations; special functions & basics of sinusoids & complex forms","1.4, 2.1, 2.3"
"3","Statistics of signals, correlation, autocorrelation, etc.; introduction to frequency domain analysis.","2.2, 2.4 - 3.2"
"4","Fourier transforms, complex & exponential forms, spectrograms, window functions, leakage.","3.3 - 4.3"
"5","Bandwidth, impulse response, convolutions; Causality, and frequency response of LTI systems","4.4 -5.3; E1"
"6","Phasors, transfer functions, system diagrams and frequency analysis of LTI systems","5.4 - 6.3"
"7","Elementary system elements, frequency response and Bode plots","6.4 - 6.8"
"8","Laplace transform and its properties; applications of Laplace transform to LCCDE system analysis; Partial fractions",""
"9","System transfer function and stability; System representations and partitions",""
"10","Applications of Laplace transform to circuit analysis","E2"
"11","Applications of Laplace transform to electromechanical and biomechanical systems",""
"12","Linear constant-coefficient difference equation; Biological application examples of linear constant-coefficient difference equations",""
"13","Fourier series and its application to circuit analysis; biomedical applications",""
"14","Comparison of system analysis tools & signal representations; review",""
"15","Final exam","FE"
